Anser_fabalis,Metsähanhi
Anser_brachyrhynchus,Lyhytnokkahanhi
Anser_albifrons,Tundrahanhi
Anser_erythropus,Kiljuhanhi
Anser_caerulescens,Lumihanhi
Branta_canadensis,Kanadanhanhi
Branta_leucopsis,Valkoposkihanhi
Tadorna_ferruginea,Ruostesorsa
Anas_americana,Amerikanhaapana
Anas_strepera,Harmaasorsa
Anas_crecca,Tavi
Anas_carolinensis,Amerikantavi
Anas_clypeata,Lapasorsa
Netta_rufina,Punapäänarsku
Aythya_collaris,Amerikantukkasotka
Aythya_affinis,Pikkulapasotka
Somateria_mollissima,Haahka
Somateria_spectabilis,Kyhmyhaahka
Histrionicus_histrionicus,Virta-alli
Melanitta_americana,Amerikanmustalintu
Melanitta_perspicillata,Pilkkaniska
Melanitta_fusca,Pilkkasiipi
Mergus_serrator,Tukkakoskelo
Mergus_merganser,Isokoskelo
Tetrastes_bonasia,Pyy
Tetrao_tetrix,Teeri
Tetrao_urogallus,Metso
Phasianus_colchicus,Fasaani
Gavia_pacifica,Tundrakuikka
Gavia_adamsii,Jääkuikka
Podiceps_cristatus,Silkkiuikku
Puffinus_puffinus,Pikkuliitäjä
Hydrobates_pelagicus,Merikeiju
Oceanodroma_leucorhoa,Myrskykeiju
Oceanodroma_castro,Madeirankeiju
Morus_bassanus,Suula
Bubulcus_ibis,Lehmähaikara
Egretta_alba,Jalohaikara
Plegadis_falcinellus,Pronssi-iibis
Platalea_leucorodia,Kapustahaikara
Milvus_migrans,Haarahaukka
Haliaeetus_leucoryphus,Aromerikotka
Neophron_percnopterus,Pikkukorppikotka
Accipiter_nisus,Varpushaukka
Buteo_buteo,Hiirihaukka
Buteo_lagopus,Piekana
Aquila_heliaca,Keisarikotka
Falco_tinnunculus,Tuulihaukka
Falco_columbarius,Ampuhaukka
Falco_eleonorae,Välimerenhaukka
Falco_cherrug,Aavikkohaukka
Falco_rusticolus,Tunturihaukka
Falco_peregrinus,Muuttohaukka
Rallus_aquaticus,Luhtakana
Porzana_porzana,Luhtahuitti
Porzana_parva,Pikkuhuitti
Porzana_pusilla,Kääpiöhuitti
Porphyrio_alleni,Kurnuliejukana
Grus_canadensis,Hietakurki
Grus_virgo,Neitokurki
Chlamydotis_macqueenii,Idänkaulustrappi
Recurvirostra_avosetta,Avosetti
Pluvialis_dominica,Amerikankurmitsa
Bartramia_longicauda,Preeriakahlaaja
Numenius_arquata,Kuovi
Limosa_limosa,Mustapyrstökuiri
Calidris_canutus,Isosirri
Calidris_ferruginea,Kuovisirri
Calidris_subminuta,Siperiansirri
Calidris_maritima,Merisirri
Calidris_bairdii,Eskimosirri
Calidris_minuta,Pikkusirri
Tringa_erythropus,Mustaviklo
Tringa_flavipes,Keltajalkaviklo
Tringa_semipalmata,Preeriaviklo
Tringa_stagnatilis,Lampiviklo
Tringa_glareola,Liro
Lymnocryptes_minimus,Jänkäkurppa
Gallinago_megala,Siperiankurppa
Glareola_nordmanni,Aropääskykahlaaja
Sternula_albifrons,Pikkutiira
Gelochelidon_nilotica,Hietatiira
Chlidonias_niger,Mustatiira
Sterna_sandvicensis,Riuttatiira
Sterna_hirundo,Kalatiira
Rhodostethia_rosea,Ruusulokki
Pagophila_eburnea,Jäälokki
Larus_ridibundus,Naurulokki
Larus_glaucoides,Grönlanninlokki
Columba_livia,Kalliokyyhky
Streptopelia_decaocto,Turkinkyyhky
Streptopelia_orientalis,Idänturturikyyhky
Otus_scops,Kyläpöllönen
Bubo_bubo,Huuhkaja
Glaucidium_passerinum,Varpuspöllö
Asio_otus,Sarvipöllö
Aegolius_funereus,Helmipöllö
Caprimulgus_europaeus,Kehrääjä
Hirundapus_caudacutus,Piikkipyrstökiitäjä
Tachymarptis_melba,Alppikiitäjä
Apus_caffer,Häätökiitäjä
Merops_apiaster,Mehiläissyöjä
Upupa_epops,Harjalintu
Picus_canus,Harmaapäätikka
Picus_viridis,Vihertikka
Dryocopus_martius,Palokärki
Dendrocopos_minor,Pikkutikka
Picoides_tridactylus,Pohjantikka
Melanocorypha_calandra,Arokiuru
Melanocorypha_bimaculata,Ylänkökiuru
Melanocorypha_leucoptera,Valkosiipikiuru
Eremophila_alpestris,Tunturikiuru
Ptyonoprogne_rupestris,Kalliopääsky
Hirundo_rustica,Haarapääsky
Delichon_urbicum,Räystäspääsky
Anthus_trivialis,Metsäkirvinen
Anthus_gustavi,Tundrakirvinen
Motacilla_citreola,Sitruunavästäräkki
Bombycilla_garrulus,Tilhi
Cinclus_cinclus,Koskikara
Prunella_montanella,Taigarautiainen
Cercotrichas_galactotes,Ruostepyrstö
Tarsiger_cyanurus,Sinipyrstö
Saxicola_rubetra,Pensastasku
Saxicola_caprata,Nokitasku
Oenanthe_pleschanka,Nunnatasku
Monticola_saxatilis,Kivikkorastas
Zoothera_dauma,Kirjorastas
Turdus_merula,Mustarastas
Turdus_eunomus,Ruostesiipirastas
Turdus_iliacus,Punakylkirastas
Locustella_lanceolata,Viirusirkkalintu
Locustella_fluviatilis,Viitasirkkalintu
Iduna_pallida,Vaaleakultarinta
Acrocephalus_paludicola,Sarakerttunen
Acrocephalus_arundinaceus,Rastaskerttunen
Sylvia_nisoria,Kirjokerttu
Sylvia_communis,Pensaskerttu
Phylloscopus_coronatus,Amurinuunilintu
Phylloscopus_plumbeitarsus,Burjatianuunilintu
Phylloscopus_proregulus,Hippiäisuunilintu
Phylloscopus_inornatus,Taigauunilintu
Phylloscopus_fuscatus,Ruskouunilintu
Phylloscopus_trochilus,Pajulintu
Muscicapa_striata,Harmaasieppo
Poecile_palustris,Viitatiainen
Oriolus_oriolus,Kuhankeittäjä
Lanius_isabellinus,Punapyrstölepinkäinen
Lanius_meridionalis,Etelänisolepinkäinen
Perisoreus_infaustus,Kuukkeli
Pica_pica,Harakka
Corvus_dauuricus,Idännaakka
Corvus_corax,Korppi
Sturnus_vulgaris,Kottarainen
Passer_domesticus,Varpunen
Passer_montanus,Pikkuvarpunen
Carpodacus_erythrinus,Punavarpunen
Coccothraustes_coccothraustes,Nokkavarpunen
Calcarius_lapponicus,Lapinsirkku
Plectrophenax_nivalis,Pulmunen
Emberiza_rustica,Pohjansirkku
Emberiza_rutila,Kastanjasirkku
Emberiza_aureola,Kultasirkku
Anser_cygnoides,Joutsenhanhi
Anser_indicus,Tiibetinhanhi
Anser_rossii,Eskimohanhi
Anas_formosa,Siperiantavi
Anas_bahamensis,Valkoposkisorsa
Phoenicopterus_roseus,Flamingo
Phoenicopterus_chilensis,Chilenflamingo
Phoenicopterus_minor,Pikkuflamingo
Sturnus_sinensis,Kiinankottarainen
Acridotheres_tristis,Pihamaina
Uragus_sibiricus,Pyrstötulkku
Eophona_personata,Japaninnokkavarpunen
Emberiza_cioides,Niittysirkku
Emberiza_elegans,Kultatöyhtösirkku
Passerina_cyanea,Indigokardinaali
