Cygnus_olor,Kyhmyjoutsen
Cygnus_columbianus,Pikkujoutsen
Cygnus_cygnus,Laulujoutsen
Anser_fabalis,Metsähanhi
Anser_brachyrhynchus,Lyhytnokkahanhi
Anser_albifrons,Tundrahanhi
Anser_erythropus,Kiljuhanhi
Anser_anser,Merihanhi
Anser_caerulescens,Lumihanhi
Branta_canadensis,Kanadanhanhi
Branta_hutchinsii,Pikkukanadanhanhi
Branta_leucopsis,Valkoposkihanhi
Branta_bernicla,Sepelhanhi
Branta_ruficollis,Punakaulahanhi
Tadorna_ferruginea,Ruostesorsa
Tadorna_tadorna,Ristisorsa
Aix_galericulata,Mandariinisorsa
Anas_penelope,Haapana
Anas_americana,Amerikanhaapana
Anas_strepera,Harmaasorsa
Anas_crecca,Tavi
Anas_carolinensis,Amerikantavi
Anas_platyrhynchos,Sinisorsa
Anas_rubripes,Nokisorsa
Anas_acuta,Jouhisorsa
Anas_querquedula,Heinätavi
Anas_discors,Sinisiipitavi
Anas_clypeata,Lapasorsa
Netta_rufina,Punapäänarsku
Aythya_ferina,Punasotka
Aythya_collaris,Amerikantukkasotka
Aythya_nyroca,Ruskosotka
Aythya_fuligula,Tukkasotka
Aythya_marila,Lapasotka
Aythya_affinis,Pikkulapasotka
Somateria_mollissima,Haahka
Somateria_spectabilis,Kyhmyhaahka
Polysticta_stelleri,Allihaahka
Histrionicus_histrionicus,Virta-alli
Clangula_hyemalis,Alli
Melanitta_nigra,Mustalintu
Melanitta_americana,Amerikanmustalintu
Melanitta_perspicillata,Pilkkaniska
Melanitta_fusca,Pilkkasiipi
Melanitta_deglandi,Kyhmypilkkasiipi
Bucephala_clangula,Telkkä
Mergellus_albellus,Uivelo
Mergus_serrator,Tukkakoskelo
Mergus_merganser,Isokoskelo
Oxyura_jamaicensis,Kuparisorsa
Coturnix_coturnix,Viiriäinen
Tetrastes_bonasia,Pyy
Lagopus_lagopus,Riekko
Lagopus_muta,Kiiruna
Tetrao_tetrix,Teeri
Tetrao_urogallus,Metso
Perdix_perdix,Peltopyy
Phasianus_colchicus,Fasaani
Gavia_stellata,Kaakkuri
Gavia_arctica,Kuikka
Gavia_pacifica,Tundrakuikka
Gavia_immer,Amerikanjääkuikka
Gavia_adamsii,Jääkuikka
Tachybaptus_ruficollis,Pikku-uikku
Podiceps_cristatus,Silkkiuikku
Podiceps_grisegena,Härkälintu
Podiceps_auritus,Mustakurkku-uikku
Podiceps_nigricollis,Mustakaulauikku
Fulmarus_glacialis,Myrskylintu
Puffinus_griseus,Nokiliitäjä
Puffinus_puffinus,Pikkuliitäjä
Hydrobates_pelagicus,Merikeiju
Oceanodroma_leucorhoa,Myrskykeiju
Oceanodroma_castro,Madeirankeiju
Morus_bassanus,Suula
Phalacrocorax_carbo,Merimetso
Phalacrocorax_aristotelis,Karimetso
Pelecanus_onocrotalus,Pelikaani
Botaurus_stellaris,Kaulushaikara
Ixobrychus_minutus,Pikkuhaikara
Nycticorax_nycticorax,Yöhaikara
Ardeola_ralloides,Rääkkähaikara
Bubulcus_ibis,Lehmähaikara
Egretta_garzetta,Silkkihaikara
Egretta_alba,Jalohaikara
Ardea_cinerea,Harmaahaikara
Ardea_purpurea,Ruskohaikara
Ciconia_nigra,Mustahaikara
Ciconia_ciconia,Kattohaikara
Plegadis_falcinellus,Pronssi-iibis
Platalea_leucorodia,Kapustahaikara
Pernis_apivorus,Mehiläishaukka
Milvus_migrans,Haarahaukka
Milvus_milvus,Isohaarahaukka
Haliaeetus_leucoryphus,Aromerikotka
Haliaeetus_albicilla,Merikotka
Neophron_percnopterus,Pikkukorppikotka
Gyps_fulvus,Hanhikorppikotka
Aegypius_monachus,Munkkikorppikotka
Circaetus_gallicus,Käärmekotka
Circus_aeruginosus,Ruskosuohaukka
Circus_cyaneus,Sinisuohaukka
Circus_macrourus,Arosuohaukka
Circus_pygargus,Niittysuohaukka
Accipiter_gentilis,Kanahaukka
Accipiter_nisus,Varpushaukka
Buteo_buteo,Hiirihaukka
Buteo_rufinus,Arohiirihaukka
Buteo_lagopus,Piekana
Aquila_clanga,Kiljukotka
Aquila_pomarina,Pikkukiljukotka
Hieraaetus_pennatus,Pikkukotka
Aquila_chrysaetos,Maakotka
Aquila_nipalensis,Arokotka
Aquila_heliaca,Keisarikotka
Pandion_haliaetus,Sääksi
Falco_naumanni,Pikkutuulihaukka
Falco_tinnunculus,Tuulihaukka
Falco_vespertinus,Punajalkahaukka
Falco_columbarius,Ampuhaukka
Falco_subbuteo,Nuolihaukka
Falco_eleonorae,Välimerenhaukka
Falco_cherrug,Aavikkohaukka
Falco_rusticolus,Tunturihaukka
Falco_peregrinus,Muuttohaukka
Rallus_aquaticus,Luhtakana
Porzana_porzana,Luhtahuitti
Porzana_parva,Pikkuhuitti
Porzana_pusilla,Kääpiöhuitti
Crex_crex,Ruisrääkkä
Gallinula_chloropus,Liejukana
Porphyrio_alleni,Kurnuliejukana
Fulica_atra,Nokikana
Grus_grus,Kurki
Grus_canadensis,Hietakurki
Grus_virgo,Neitokurki
Tetrax_tetrax,Pikkutrappi
Chlamydotis_macqueenii,Idänkaulustrappi
Otis_tarda,Isotrappi
Burhinus_oedicnemus,Paksujalka
Himantopus_himantopus,Pitkäjalka
Recurvirostra_avosetta,Avosetti
Haematopus_ostralegus,Meriharakka
Pluvialis_fulva,Siperiankurmitsa
Pluvialis_dominica,Amerikankurmitsa
Pluvialis_apricaria,Kapustarinta
Pluvialis_squatarola,Tundrakurmitsa
Vanellus_gregarius,Arohyyppä
Vanellus_leucurus,Suohyyppä
Vanellus_vanellus,Töyhtöhyyppä
Charadrius_dubius,Pikkutylli
Charadrius_hiaticula,Tylli
Charadrius_alexandrinus,Mustajalkatylli
Charadrius_mongolus,Ylänkötylli
Charadrius_leschenaultii,Aavikkotylli
Charadrius_asiaticus,Kaspiantylli
Charadrius_veredus,Gobintylli
Charadrius_morinellus,Keräkurmitsa
Bartramia_longicauda,Preeriakahlaaja
Numenius_minutus,Taigakuovi
Numenius_phaeopus,Pikkukuovi
Numenius_arquata,Kuovi
Limosa_limosa,Mustapyrstökuiri
Limosa_lapponica,Punakuiri
Arenaria_interpres,Karikukko
Calidris_canutus,Isosirri
Calidris_pugnax,Suokukko
Calidris_acuminata,Suippopyrstösirri
Calidris_falcinellus,Jänkäsirriäinen
Calidris_ferruginea,Kuovisirri
Calidris_himantopus,Pitkäkoipisirri
Calidris_ruficollis,Rusokaulasirri
Calidris_subminuta,Siperiansirri
Calidris_temminckii,Lapinsirri
Calidris_alba,Pulmussirri
Calidris_alpina,Suosirri
Calidris_maritima,Merisirri
Calidris_bairdii,Eskimosirri
Calidris_minuta,Pikkusirri
Calidris_fuscicollis,Valkoperäsirri
Calidris_minutilla,Amerikansirri
Calidris_subruficollis,Tundravikla
Calidris_melanotos,Palsasirri
Phalaropus_tricolor,Amerikanvesipääsky
Phalaropus_lobatus,Vesipääsky
Phalaropus_fulicarius,Isovesipääsky
Xenus_cinereus,Rantakurvi
Actitis_hypoleucos,Rantasipi
Actitis_macularius,Amerikansipi
Tringa_ochropus,Metsäviklo
Tringa_erythropus,Mustaviklo
Tringa_nebularia,Valkoviklo
Tringa_flavipes,Keltajalkaviklo
Tringa_semipalmata,Preeriaviklo
Tringa_stagnatilis,Lampiviklo
Tringa_glareola,Liro
Tringa_totanus,Punajalkaviklo
Lymnocryptes_minimus,Jänkäkurppa
Limnodromus_scolopaceus,Tundrakurppelo
Scolopax_rusticola,Lehtokurppa
Gallinago_gallinago,Taivaanvuohi
Gallinago_delicata,Amerikantaivaanvuohi
Gallinago_media,Heinäkurppa
Gallinago_megala,Siperiankurppa
Glareola_pratincola,Pääskykahlaaja
Glareola_maldivarum,Aasianpääskykahlaaja
Glareola_nordmanni,Aropääskykahlaaja
Cursorius_cursor,Aavikkojuoksija
Stercorarius_pomarinus,Leveäpyrstökihu
Stercorarius_parasiticus,Merikihu
Stercorarius_longicaudus,Tunturikihu
Stercorarius_skua,Isokihu
Fratercula_arctica,Lunni
Cepphus_grylle,Riskilä
Alca_torda,Ruokki
Alle_alle,Pikkuruokki
Uria_aalge,Etelänkiisla
Uria_lomvia,Pohjankiisla
Sternula_albifrons,Pikkutiira
Gelochelidon_nilotica,Hietatiira
Hydroprogne_caspia,Räyskä
Chlidonias_hybrida,Valkoposkitiira
Chlidonias_niger,Mustatiira
Chlidonias_leucopterus,Valkosiipitiira
Sterna_sandvicensis,Riuttatiira
Sterna_hirundo,Kalatiira
Sterna_paradisaea,Lapintiira
Hydrocoloeus_minutus,Pikkulokki
Rhodostethia_rosea,Ruusulokki
Pagophila_eburnea,Jäälokki
Xema_sabini,Tiiralokki
Rissa_tridactyla,Pikkukajava
Larus_genei,Kaitanokkalokki
Larus_ridibundus,Naurulokki
Larus_atricilla,Nokisiipilokki
Larus_pipixcan,Preerianaurulokki
Larus_audouinii,Välimerenlokki
Larus_melanocephalus,Mustanmerenlokki
Larus_canus,Kalalokki
